date,trade_code,high,low,open,close,volume
2020-07-05,ADVENT,22.8,22.8,22.8,22.8,4000
2020-07-02,ADVENT,22.8,22.8,22.8,22.8,10
2020-08-10,AFCAGRO,19.5,18.8,19.1,18.8,463675
2020-08-09,AFCAGRO,19.9,19,19,19.5,683614
2020-08-06,AFCAGRO,19.2,17.6,18,18.9,449799
2020-08-05,AFCAGRO,19.1,17.1,18.7,17.8,559837
2020-08-04,AFCAGRO,19.1,18.2,19,18.7,375496
2020-08-03,AFCAGRO,19.7,18.1,18.1,19,598506
2020-07-30,AFCAGRO,18.3,17,17,18.1,601470
2020-07-29,AFCAGRO,17.2,17,17,17,139990
2020-07-28,AFCAGRO,17,17,17,17,94843
2020-07-27,AFCAGRO,17,17,17,17,30081
2020-07-26,AFCAGRO,17.3,17,17.1,17,36725
2020-07-23,AFCAGRO,17,17,17,17,85930
2020-07-22,AFCAGRO,17.2,17,17,17,58535
2020-07-21,AFCAGRO,17,17,17,17,36967
2020-07-20,AFCAGRO,17,17,17,17,9450
2020-07-19,AFCAGRO,17,17,17,17,800
2020-07-16,AFCAGRO,17,17,17,17,2900
2020-07-15,AFCAGRO,17,17,17,17,6700
2020-07-14,AFCAGRO,17.1,17,17,17,58551
2020-07-13,AFCAGRO,17.3,17,17,17,44533
2020-07-12,AFCAGRO,17.5,17,17.2,17,83549
2020-07-09,AFCAGRO,17.5,17,17,17.2,238126
2020-07-08,AFCAGRO,17,17,17,17,400
2020-07-07,AFCAGRO,17,17,17,17,170
2020-07-06,AFCAGRO,0,0,0,17,0
2020-07-05,AFCAGRO,0,0,0,17,0
2020-07-02,AFCAGRO,17,17,17,17,278
2020-08-10,AFTABAUTO,27.2,26.1,27.2,26.3,268951
2020-08-09,AFTABAUTO,27.4,25.9,25.9,27.2,363287
2020-08-06,AFTABAUTO,25.8,24.6,24.7,25,321829
2020-08-05,AFTABAUTO,25.8,24.6,24.8,25.1,222105
2020-08-04,AFTABAUTO,25.8,24.2,25.4,24.7,179220
2020-08-03,AFTABAUTO,25.3,24,24,25.1,458682
2020-07-30,AFTABAUTO,24.3,23.6,23.6,23.7,190027
2020-07-29,AFTABAUTO,23.6,23.6,23.6,23.6,8240
2020-07-28,AFTABAUTO,23.6,23.6,23.6,23.6,15381
